session_key,ts,category,flag,scope,sector,lap_number,driver_id,message
9684,2025-02-27 12:59:01+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
9684,2025-02-27 12:59:58+02,Other,,,,,,STANDING START
9684,2025-02-27 13:00:23+02,Other,,,,,,AIR TEMPERATURE 1 HOUR BEFORE PM SESSION = 15.2 DEGREES
9684,2025-02-27 13:01:40+02,Other,,,,,,EXTRA FORMATION LAP
9684,2025-02-27 13:02:25+02,Other,,,,,,STANDING START
9684,2025-02-27 13:05:10+02,Flag,RED,Track,,,,RED FLAG
9684,2025-02-27 13:06:57+02,Flag,CLEAR,Track,,,,TRACK CLEAR
9684,2025-02-27 13:07:05+02,Other,,,,,,TRACK TEST COMPLETED
9684,2025-02-27 13:07:11.306+02,SessionStatus,,,,,,SESSION FINISHED
9684,2025-02-27 13:45:07+02,Other,,,,,,RISK OF RAIN FOR THIS PM SESSION IS 60%
9684,2025-02-27 13:53:00+02,Other,,,,,,PINK HEAD PADDING MATERIAL MUST BE USED
9684,2025-02-27 14:00:00+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
9684,2025-02-27 14:00:00.223+02,SessionStatus,,,,,,SESSION STARTED
9684,2025-02-27 14:52:41+02,Flag,YELLOW,Sector,11,,,YELLOW IN TRACK SECTOR 11
9684,2025-02-27 14:52:42+02,Other,,,,,,DRS DISABLED IN ZONE 2
9684,2025-02-27 14:52:44+02,Other,,,,,,DRS ENABLED IN ZONE 2
9684,2025-02-27 14:52:44+02,Flag,CLEAR,Sector,11,,,CLEAR IN TRACK SECTOR 11
9684,2025-02-27 17:55:01+02,Drs,,,,,,DRS DISABLED
9684,2025-02-27 17:55:21+02,Drs,,,,,,DRS ENABLED
9684,2025-02-27 17:55:31+02,SafetyCar,,,,,,VIRTUAL SAFETY CAR DEPLOYED
9684,2025-02-27 17:55:41+02,Flag,DOUBLE YELLOW,Sector,16,,,DOUBLE YELLOW IN TRACK SECTOR 16
9684,2025-02-27 17:55:50+02,SafetyCar,,,,,,SAFETY CAR DEPLOYED
9684,2025-02-27 17:56:21.754+02,SessionStatus,,,,,,SESSION ABORTED
9684,2025-02-27 17:56:22+02,Flag,RED,Track,,,,RED FLAG
9684,2025-02-27 17:56:22+02,Flag,CLEAR,Sector,16,,,CLEAR IN TRACK SECTOR 16
9684,2025-02-27 17:58:45+02,Flag,CLEAR,Track,,,,TRACK CLEAR
9684,2025-02-27 17:58:56+02,Other,,,,,,FORMATION LAP WILL START AT 19:00
9684,2025-02-27 18:00:09+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
9684,2025-02-27 18:00:40+02,Other,,,,,,ROLLING START
