session_key,driver_id,driver_number,position,points,number_of_laps,dnf,dns,dsq,duration_s,gap_to_leader_s,laps_down,q1_s,q2_s,q3_s,gap_raw
9854,20,87,14,0.00,17,f,f,f,,,,116.016,113.094,,"[2.872, 2.159, null]"
9854,29,43,15,0.00,17,f,f,f,,,,114.847,113.683,,"[1.703, 2.748, null]"
9854,12,23,16,0.00,8,f,f,f,,,,116.220,,,"[3.076, null, null]"
9854,7,12,17,0.00,8,f,f,f,,,,116.314,,,"[3.17, null, null]"
9854,3,5,18,0.00,9,f,f,f,,,,116.674,,,"[3.53, null, null]"
9854,11,22,19,0.00,9,f,f,f,,,,116.798,,,"[3.654, null, null]"
9854,16,44,20,0.00,9,f,f,f,,,,117.115,,,"[3.971, null, null]"
9858,1,1,1,25.00,50,f,f,f,4868.429,0.000,,,,,0
9858,18,63,2,18.00,50,f,f,f,4891.975,23.546,,,,,23.546
9858,7,12,3,15.00,50,f,f,f,4898.917,30.488,,,,,30.488
9858,9,16,4,12.00,50,f,f,f,4899.107,30.678,,,,,30.678
9858,17,55,5,10.00,50,f,f,f,4903.353,34.924,,,,,34.924
9858,4,6,6,8.00,50,f,f,f,4913.686,45.257,,,,,45.257
9858,13,27,7,6.00,50,f,f,f,4919.563,51.134,,,,,51.134
9858,16,44,8,4.00,50,f,f,f,4927.798,59.369,,,,,59.369
9858,15,31,9,2.00,50,f,f,f,4929.064,60.635,,,,,60.635
9858,20,87,10,1.00,50,f,f,f,4938.978,70.549,,,,,70.549
9858,8,14,11,0.00,50,f,f,f,4953.737,85.308,,,,,85.308
9858,11,22,12,0.00,50,f,f,f,4955.403,86.974,,,,,86.974
9858,6,10,13,0.00,50,f,f,f,4960.131,91.702,,,,,91.702
9858,14,30,14,0.00,49,f,f,f,,,1,,,,+1 LAP
9858,29,43,15,0.00,49,f,f,f,,,1,,,,+1 LAP
9858,12,23,,0.00,35,t,f,f,,,,,,,
9858,3,5,,0.00,2,t,f,f,,,,,,,
9858,10,18,,0.00,0,t,f,f,,,,,,,
9858,2,4,,0.00,,f,f,t,,,,,,,
9858,19,81,,0.00,,f,f,t,,,,,,,
9859,2,4,1,0.00,31,f,f,f,69.975,0.000,,,,,0
9859,19,81,2,0.00,33,f,f,f,69.998,0.023,,,,,0.023
9859,13,27,3,0.00,32,f,f,f,70.594,0.619,,,,,0.619
9859,8,14,4,0.00,26,f,f,f,70.606,0.631,,,,,0.631
9859,3,5,5,0.00,32,f,f,f,70.616,0.641,,,,,0.641
9859,18,63,6,0.00,35,f,f,f,70.645,0.670,,,,,0.67
9859,6,10,7,0.00,33,f,f,f,70.681,0.706,,,,,0.706
9859,17,55,8,0.00,36,f,f,f,70.686,0.711,,,,,0.711
9859,4,6,9,0.00,31,f,f,f,70.707,0.732,,,,,0.732
9859,7,12,10,0.00,37,f,f,f,70.744,0.769,,,,,0.769
9859,14,30,11,0.00,36,f,f,f,70.794,0.819,,,,,0.819
9859,12,23,12,0.00,35,f,f,f,70.807,0.832,,,,,0.832
9859,15,31,13,0.00,29,f,f,f,70.906,0.931,,,,,0.931
9859,20,87,14,0.00,32,f,f,f,70.961,0.986,,,,,0.986
9859,10,18,15,0.00,31,f,f,f,71.070,1.095,,,,,1.095
9859,29,43,16,0.00,30,f,f,f,71.160,1.185,,,,,1.185
